id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,place,is_touch,Cluster
135,8,2025-01-16 17:00:00,2,61,Thursday,550,25,626,159,home,True,0
136,5,2025-01-16 17:00:04,17,206,Thursday,123,9,900,630,home,True,1
137,2,2025-01-16 17:00:11,49,53,Thursday,219,198,418,411,home,False,0
138,7,2025-01-16 17:00:17,36,51,Thursday,557,60,618,117,home,False,3
139,5,2025-01-16 17:00:22,38,554,Thursday,517,4,827,293,home,True,0
140,5,2025-01-16 17:00:37,22,119,Thursday,425,224,808,503,home,True,0
141,8,2025-01-16 17:01:00,31,828,Thursday,565,295,732,367,home,True,3
142,5,2025-01-16 17:01:27,85,842,Thursday,434,10,956,414,home,True,1
143,8,2025-01-16 17:01:50,13,197,Thursday,487,97,563,259,home,True,0
144,8,2025-01-16 17:01:53,2,86,Thursday,472,115,548,247,home,True,0
145,8,2025-01-16 17:02:06,5,81,Thursday,536,72,594,247,home,False,1
146,8,2025-01-16 17:02:08,5,115,Thursday,519,88,614,237,home,True,0
147,8,2025-01-16 17:02:12,2,55,Thursday,504,82,585,223,home,False,1
148,8,2025-01-16 17:02:16,4,141,Thursday,486,58,550,216,home,True,0
149,8,2025-01-16 17:02:21,10,122,Thursday,530,55,603,211,home,True,0
150,8,2025-01-16 17:02:27,1,53,Thursday,513,60,592,194,home,True,0
151,8,2025-01-16 17:02:32,16,294,Thursday,546,45,616,190,home,True,0
152,8,2025-01-16 17:02:34,3,60,Thursday,552,42,606,182,home,True,0
153,9,2025-01-16 17:02:41,22,60,Thursday,750,50,819,100,home,True,1
154,5,2025-01-16 17:02:51,61,1345,Thursday,404,32,923,474,home,True,1
155,2,2025-01-16 17:03:20,34,54,Thursday,220,194,417,409,home,False,0
156,8,2025-01-16 17:03:27,7,77,Thursday,565,0,661,157,home,True,0
157,8,2025-01-16 17:03:35,41,55,Thursday,0,275,46,346,home,True,3
158,5,2025-01-16 17:03:53,4,63,Thursday,487,14,885,408,home,True,1
159,5,2025-01-16 17:03:59,3,86,Thursday,840,40,1054,410,home,True,1
160,5,2025-01-16 17:04:13,3,78,Thursday,575,0,831,237,home,True,1
161,5,2025-01-16 17:04:17,95,2273,Thursday,420,22,854,343,home,True,1
162,8,2025-01-16 17:04:22,90,437,Thursday,360,177,411,313,home,True,0
163,5,2025-01-19 15:23:32,31,207,Sunday,526,620,753,843,home,True,3
164,2,2025-01-19 15:23:32,5,81,Sunday,17,264,149,393,home,False,3
165,5,2025-01-19 15:23:39,9,83,Sunday,397,48,734,360,home,True,0
166,4,2025-01-19 15:23:39,65,381,Sunday,1,133,232,320,home,True,1
