id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch,Cluster
128,9,2025-01-19 16:38:42,12,237,Sunday,348,214,477,282,405,287,124,114,home,False,10
129,9,2025-01-19 16:38:58,99,2362,Sunday,356,127,505,276,436,199,134,156,home,False,10
130,9,2025-01-19 16:40:38,50,265,Sunday,147,476,358,699,262,650,113,105,home,False,10
131,9,2025-01-19 16:40:41,47,604,Sunday,396,539,536,757,475,647,111,156,home,False,10
132,8,2025-01-19 16:40:45,27,452,Sunday,384,240,506,396,499,313,111,158,home,False,9
133,12,2025-01-20 19:54:20,230,2234,Monday,177,499,422,669,299,584,245,169,home,False,2
134,8,2025-01-20 19:54:46,116,1683,Monday,625,350,667,512,646,431,42,162,home,False,1
135,9,2025-01-20 19:56:38,92,350,Monday,272,159,309,191,291,175,37,32,home,False,7
136,12,2025-01-22 19:20:53,315,3703,Wednesday,167,433,408,580,287,507,240,147,home,False,2
137,9,2025-01-22 19:20:53,311,1852,Wednesday,166,432,407,580,287,506,240,148,home,False,7
138,8,2025-01-22 19:24:42,86,957,Wednesday,567,409,640,561,605,497,59,130,home,False,1
139,12,2025-01-22 19:46:17,157,927,Wednesday,165,433,407,580,286,506,241,148,home,False,2
140,8,2025-01-22 19:46:17,40,426,Wednesday,559,400,635,558,597,478,76,157,home,False,1
141,8,2025-01-22 19:46:50,29,377,Wednesday,496,394,654,488,565,440,150,96,home,False,1
142,9,2025-01-22 19:47:58,98,1816,Wednesday,506,592,600,731,585,716,162,145,home,False,7
143,9,2025-01-22 19:48:00,88,282,Wednesday,494,90,621,212,590,168,121,84,home,True,13
144,3,2025-01-23 18:10:42,48,334,Thursday,205,82,379,270,292,175,174,183,home,False,14
145,9,2025-01-23 18:11:31,93,751,Thursday,267,167,308,191,288,179,40,23,home,False,7
146,9,2025-01-23 18:11:45,79,220,Thursday,576,525,779,646,686,543,114,115,home,True,13
147,9,2025-01-23 18:12:04,170,1049,Thursday,588,521,786,654,697,603,210,121,home,True,13
148,5,2025-01-23 18:13:19,144,1068,Thursday,6,46,864,846,431,448,860,795,home,True,8
149,1,2025-01-23 18:13:19,151,561,Thursday,181,463,369,584,280,540,168,83,home,False,2
150,8,2025-01-23 22:36:00,247,3505,Thursday,536,343,695,394,616,369,158,51,home,False,0
151,5,2025-01-23 22:37:29,52,216,Thursday,218,56,394,200,317,128,153,143,home,False,6
152,8,2025-01-23 22:37:36,87,375,Thursday,590,362,696,391,640,376,115,32,home,False,0
153,8,2025-01-23 22:39:54,40,704,Thursday,530,353,695,386,612,370,167,33,home,False,0
154,5,2025-01-24 11:33:33,13,240,Friday,646,420,886,648,766,534,239,228,home,True,3
155,9,2025-01-24 11:33:39,45,229,Friday,362,202,436,285,399,244,82,83,home,True,11
156,11,2025-01-24 11:33:50,34,220,Friday,322,471,480,616,401,544,158,143,home,True,2
157,8,2025-01-24 11:34:26,306,1978,Friday,479,46,605,226,542,135,125,181,home,True,14
158,3,2025-01-24 11:34:47,18,369,Friday,419,190,496,316,458,253,76,126,home,False,14
159,2,2025-01-24 11:35:05,247,3993,Friday,326,0,441,168,396,78,100,157,home,False,5
160,5,2025-01-24 11:39:17,115,215,Friday,4,76,254,315,223,234,404,304,home,True,3
161,8,2025-01-24 11:39:29,112,601,Friday,533,308,652,370,591,338,121,62,home,True,14
162,5,2025-01-24 11:39:43,21,399,Friday,443,18,702,197,552,69,222,139,home,True,3
163,9,2025-01-24 11:39:51,90,373,Friday,359,199,433,284,396,242,73,85,home,True,11
164,9,2025-01-24 11:40:15,52,467,Friday,333,115,368,137,350,126,35,21,home,False,6
165,5,2025-01-24 11:41:09,52,937,Friday,447,24,718,181,577,128,277,127,home,True,3
166,8,2025-01-26 19:34:22,223,1124,Sunday,523,378,672,457,598,418,148,78,home,False,9
167,8,2025-01-26 19:34:22,223,3462,Sunday,726,445,902,482,814,463,176,36,home,False,9
168,9,2025-01-26 19:34:22,324,1761,Sunday,756,505,850,632,803,569,93,126,home,False,10
169,4,2025-01-26 19:38:06,102,340,Sunday,238,400,525,644,382,524,286,248,home,False,4
170,12,2025-01-26 19:38:56,147,409,Sunday,259,227,471,318,361,271,223,80,home,False,11
171,5,2025-01-26 19:39:21,182,1866,Sunday,331,214,891,646,551,239,630,415,home,True,6
172,12,2025-01-26 19:41:24,235,4788,Sunday,313,151,470,336,370,251,247,102,home,False,11
